id_categoria,nombre,descripcion,precio,costo,stock
3,Cortinas Home 1,Descripción del producto Cortinas Home 1,679.81,335.27,54
5,Novela Vol. 2,Descripción del producto Novela Vol. 2,29.44,16.6,65
4,Raqueta Pro 3,Descripción del producto Raqueta Pro 3,493.54,297.95,0
5,Historia Vol. 4,Descripción del producto Historia Vol. 4,32.18,19.78,28
3,Lámpara Home 5,Descripción del producto Lámpara Home 5,390.44,198.99,89
5,Ciencia Vol. 6,Descripción del producto Ciencia Vol. 6,42.88,20.23,54
5,Ciencia Vol. 7,Descripción del producto Ciencia Vol. 7,39.77,22.2,12
1,Smartwatch Modelo 8,Descripción del producto Smartwatch Modelo 8,1062.25,690.23,75
4,Balón Pro 9,Descripción del producto Balón Pro 9,472.96,239.02,63
1,Laptop Modelo 10,Descripción del producto Laptop Modelo 10,1127.57,512.61,5
4,Zapatillas Pro 11,Descripción del producto Zapatillas Pro 11,167.48,82.98,41
3,Mesa Home 12,Descripción del producto Mesa Home 12,478.07,196.44,42
2,Vestido Estilo 13,Descripción del producto Vestido Estilo 13,95.51,55.54,31
3,Mesa Home 14,Descripción del producto Mesa Home 14,51.01,32.36,25
4,Bicicleta Pro 15,Descripción del producto Bicicleta Pro 15,286.15,159.67,31
2,Camiseta Estilo 16,Descripción del producto Camiseta Estilo 16,55.81,23.96,89
2,Chaqueta Estilo 17,Descripción del producto Chaqueta Estilo 17,68.41,36.05,3
3,Cortinas Home 18,Descripción del producto Cortinas Home 18,411.17,209.07,13
1,Tablet Modelo 19,Descripción del producto Tablet Modelo 19,837.92,341.32,96
2,Camiseta Estilo 20,Descripción del producto Camiseta Estilo 20,80.2,51.02,88
1,Smartphone Modelo 21,Descripción del producto Smartphone Modelo 21,885.56,530.05,62
4,Raqueta Pro 22,Descripción del producto Raqueta Pro 22,180.93,123.09,29
3,Vajilla Home 23,Descripción del producto Vajilla Home 23,475.02,292.31,9
3,Lámpara Home 24,Descripción del producto Lámpara Home 24,337.55,217.21,25
3,Lámpara Home 25,Descripción del producto Lámpara Home 25,102.36,64.72,39
5,Ciencia Vol. 26,Descripción del producto Ciencia Vol. 26,35.83,24.24,5
3,Cortinas Home 27,Descripción del producto Cortinas Home 27,363.46,228.25,21
2,Chaqueta Estilo 28,Descripción del producto Chaqueta Estilo 28,33.13,19.32,54
1,Smartwatch Modelo 29,Descripción del producto Smartwatch Modelo 29,1090.2,533.48,81
2,Vestido Estilo 30,Descripción del producto Vestido Estilo 30,131.31,53.81,93
2,Zapatos Estilo 31,Descripción del producto Zapatos Estilo 31,28.37,13.14,22
5,Ciencia Vol. 32,Descripción del producto Ciencia Vol. 32,29.21,14.6,69
4,Balón Pro 33,Descripción del producto Balón Pro 33,385.68,196.84,70
3,Vajilla Home 34,Descripción del producto Vajilla Home 34,582.71,386.51,5
5,Biografía Vol. 35,Descripción del producto Biografía Vol. 35,39.59,16.08,72
3,Mesa Home 36,Descripción del producto Mesa Home 36,303.35,168.02,94
5,Historia Vol. 37,Descripción del producto Historia Vol. 37,13.62,8.54,45
3,Lámpara Home 38,Descripción del producto Lámpara Home 38,646.79,394.86,82
3,Vajilla Home 39,Descripción del producto Vajilla Home 39,162.97,68.8,21
3,Vajilla Home 40,Descripción del producto Vajilla Home 40,330.33,163.57,66
2,Pantalón Estilo 41,Descripción del producto Pantalón Estilo 41,135.23,70.01,81
2,Camiseta Estilo 42,Descripción del producto Camiseta Estilo 42,113.58,66.45,65
2,Pantalón Estilo 43,Descripción del producto Pantalón Estilo 43,111.78,53.26,15
2,Chaqueta Estilo 44,Descripción del producto Chaqueta Estilo 44,135.63,59.0,5
1,Smartwatch Modelo 45,Descripción del producto Smartwatch Modelo 45,1298.71,569.67,13
3,Mesa Home 46,Descripción del producto Mesa Home 46,627.13,384.7,32
2,Camiseta Estilo 47,Descripción del producto Camiseta Estilo 47,129.09,80.89,91
2,Pantalón Estilo 48,Descripción del producto Pantalón Estilo 48,108.88,60.54,57
3,Vajilla Home 49,Descripción del producto Vajilla Home 49,608.03,418.5,100
5,Novela Vol. 50,Descripción del producto Novela Vol. 50,39.19,27.25,28
